Div,Date,home_away,team,score,opp_score,Pts,win,goal_diff,points_running,gd_running,wins_running,match_count
E0,05/08/2022,HomeTeam,Crystal Palace,0,2,0,0,-2,0,-2,0,1
E0,05/08/2022,AwayTeam,Arsenal,2,0,3,1,2,3,2,1,1
E0,06/08/2022,HomeTeam,Fulham,2,2,1,0,0,1,0,0,1
E0,06/08/2022,AwayTeam,Liverpool,2,2,1,0,0,1,0,0,1
E0,06/08/2022,HomeTeam,Bournemouth,2,0,3,1,2,3,2,1,1
E0,06/08/2022,AwayTeam,Aston Villa,0,2,0,0,-2,0,-2,0,1
E0,06/08/2022,HomeTeam,Leeds,2,1,3,1,1,3,1,1,1
E0,06/08/2022,AwayTeam,Wolves,1,2,0,0,-1,0,-1,0,1
E0,06/08/2022,HomeTeam,Newcastle,2,0,3,1,2,3,2,1,1
E0,06/08/2022,AwayTeam,Nott'm Forest,0,2,0,0,-2,0,-2,0,1
E0,06/08/2022,HomeTeam,Tottenham,4,1,3,1,3,3,3,1,1
E0,06/08/2022,AwayTeam,Southampton,1,4,0,0,-3,0,-3,0,1
E0,06/08/2022,HomeTeam,Everton,0,1,0,0,-1,0,-1,0,1
E0,06/08/2022,AwayTeam,Chelsea,1,0,3,1,1,3,1,1,1
E0,07/08/2022,HomeTeam,Leicester,2,2,1,0,0,1,0,0,1
E0,07/08/2022,AwayTeam,Brentford,2,2,1,0,0,1,0,0,1
E0,07/08/2022,HomeTeam,Man United,1,2,0,0,-1,0,-1,0,1
E0,07/08/2022,AwayTeam,Brighton,2,1,3,1,1,3,1,1,1
E0,07/08/2022,HomeTeam,West Ham,0,2,0,0,-2,0,-2,0,1
E0,07/08/2022,AwayTeam,Man City,2,0,3,1,2,3,2,1,1
E0,13/08/2022,HomeTeam,Aston Villa,2,1,3,1,1,3,-1,1,2
E0,13/08/2022,AwayTeam,Everton,1,2,0,0,-1,0,-2,0,2
E0,13/08/2022,HomeTeam,Arsenal,4,2,3,1,2,6,4,2,2
E0,13/08/2022,AwayTeam,Leicester,2,4,0,0,-2,1,-2,0,2
E0,13/08/2022,HomeTeam,Brighton,0,0,1,0,0,4,1,1,2
E0,13/08/2022,AwayTeam,Newcastle,0,0,1,0,0,4,2,1,2
E0,13/08/2022,HomeTeam,Man City,4,0,3,1,4,6,6,2,2
E0,13/08/2022,AwayTeam,Bournemouth,0,4,0,0,-4,3,-2,1,2
E0,13/08/2022,HomeTeam,Southampton,2,2,1,0,0,1,-3,0,2
E0,13/08/2022,AwayTeam,Leeds,2,2,1,0,0,4,1,1,2
E0,13/08/2022,HomeTeam,Wolves,0,0,1,0,0,1,-1,0,2
E0,13/08/2022,AwayTeam,Fulham,0,0,1,0,0,2,0,0,2
E0,13/08/2022,HomeTeam,Brentford,4,0,3,1,4,4,4,1,2
E0,13/08/2022,AwayTeam,Man United,0,4,0,0,-4,0,-5,0,2
E0,14/08/2022,HomeTeam,Nott'm Forest,1,0,3,1,1,3,-1,1,2
E0,14/08/2022,AwayTeam,West Ham,0,1,0,0,-1,0,-3,0,2
E0,14/08/2022,HomeTeam,Chelsea,2,2,1,0,0,4,1,1,2
E0,14/08/2022,AwayTeam,Tottenham,2,2,1,0,0,4,3,1,2
E0,15/08/2022,HomeTeam,Liverpool,1,1,1,0,0,2,0,0,2
E0,15/08/2022,AwayTeam,Crystal Palace,1,1,1,0,0,1,-2,0,2
E0,20/08/2022,HomeTeam,Tottenham,1,0,3,1,1,7,4,2,3
E0,20/08/2022,AwayTeam,Wolves,0,1,0,0,-1,1,-2,0,3
E0,20/08/2022,HomeTeam,Crystal Palace,3,1,3,1,2,4,0,1,3
E0,20/08/2022,AwayTeam,Aston Villa,1,3,0,0,-2,3,-3,1,3
E0,20/08/2022,HomeTeam,Everton,1,1,1,0,0,1,-2,0,3
E0,20/08/2022,AwayTeam,Nott'm Forest,1,1,1,0,0,4,-1,1,3
E0,20/08/2022,HomeTeam,Fulham,3,2,3,1,1,5,1,1,3
E0,20/08/2022,AwayTeam,Brentford,2,3,0,0,-1,4,3,1,3
E0,20/08/2022,HomeTeam,Leicester,1,2,0,0,-1,1,-3,0,3
E0,20/08/2022,AwayTeam,Southampton,2,1,3,1,1,4,-2,1,3
E0,20/08/2022,HomeTeam,Bournemouth,0,3,0,0,-3,3,-5,1,3
E0,20/08/2022,AwayTeam,Arsenal,3,0,3,1,3,9,7,3,3
E0,21/08/2022,HomeTeam,Leeds,3,0,3,1,3,7,4,2,3
E0,21/08/2022,AwayTeam,Chelsea,0,3,0,0,-3,4,-2,1,3
E0,21/08/2022,HomeTeam,West Ham,0,2,0,0,-2,0,-5,0,3
E0,21/08/2022,AwayTeam,Brighton,2,0,3,1,2,7,3,2,3
E0,21/08/2022,HomeTeam,Newcastle,3,3,1,0,0,5,2,1,3
E0,21/08/2022,AwayTeam,Man City,3,3,1,0,0,7,6,2,3
D1,05/08/2022,HomeTeam,Ein Frankfurt,1,6,0,0,-5,0,-5,0,1
D1,05/08/2022,AwayTeam,Bayern Munich,6,1,3,1,5,3,5,1,1
D1,06/08/2022,HomeTeam,Augsburg,0,4,0,0,-4,0,-4,0,1
D1,06/08/2022,AwayTeam,Freiburg,4,0,3,1,4,3,4,1,1
D1,06/08/2022,HomeTeam,Bochum,1,2,0,0,-1,0,-1,0,1
D1,06/08/2022,AwayTeam,Mainz,2,1,3,1,1,3,1,1,1
D1,06/08/2022,HomeTeam,M'gladbach,3,1,3,1,2,3,2,1,1
D1,06/08/2022,AwayTeam,Hoffenheim,1,3,0,0,-2,0,-2,0,1
D1,06/08/2022,HomeTeam,Union Berlin,3,1,3,1,2,3,2,1,1
D1,06/08/2022,AwayTeam,Hertha,1,3,0,0,-2,0,-2,0,1
D1,06/08/2022,HomeTeam,Wolfsburg,2,2,1,0,0,1,0,0,1
D1,06/08/2022,AwayTeam,Werder Bremen,2,2,1,0,0,1,0,0,1
D1,06/08/2022,HomeTeam,Dortmund,1,0,3,1,1,3,1,1,1
D1,06/08/2022,AwayTeam,Leverkusen,0,1,0,0,-1,0,-1,0,1
D1,07/08/2022,HomeTeam,Stuttgart,1,1,1,0,0,1,0,0,1
D1,07/08/2022,AwayTeam,RB Leipzig,1,1,1,0,0,1,0,0,1
D1,07/08/2022,HomeTeam,FC Koln,3,1,3,1,2,3,2,1,1
